X = 4.72     Z = 261.42  
X = 4.64     Z = 261.435 
X = 4.56     Z = 261.42  
X = 4.48     Z = 261.415 
X = 4.405    Z = 261.385 
X = 4.325    Z = 261.36  
X = 4.25     Z = 261.34  
X = 4.17     Z = 261.31  
X = 4.095    Z = 261.28  
X = 4.015    Z = 261.255 
X = 3.935    Z = 261.265 
X = 3.855    Z = 261.3   
X = 3.78     Z = 261.335 
X = 3.7      Z = 261.345 
X = 3.625    Z = 261.295 
X = 3.545    Z = 261.19  
X = 3.465    Z = 261.15  
X = 3.39     Z = 261.15  
X = 3.31     Z = 261.13  
X = 3.235    Z = 261.085 
X = 3.155    Z = 261.05  
X = 3.075    Z = 261.03  
X = 3        Z = 260.995 
X = 2.92     Z = 260.975 
X = 2.845    Z = 260.97  
X = 2.765    Z = 261.015 
X = 2.685    Z = 261.035 
X = 2.605    Z = 260.98  
X = 2.53     Z = 260.89  
X = 2.45     Z = 260.855 
X = 2.375    Z = 260.875 
X = 2.295    Z = 260.87  
X = 2.215    Z = 260.875 
X = 2.14     Z = 260.89  
X = 2.06     Z = 260.835 
X = 1.98     Z = 260.775 
X = 1.9      Z = 260.77  
X = 1.825    Z = 260.765 
X = 1.745    Z = 260.745 
X = 1.67     Z = 260.72  
X = 1.59     Z = 260.705 
X = 1.51     Z = 260.715 
X = 1.43     Z = 260.695 
X = 1.355    Z = 260.685 
X = 1.275    Z = 260.67  
X = 1.195    Z = 260.635 
X = 1.12     Z = 260.635 
X = 1.04     Z = 260.645 
X = 0.96     Z = 260.575 
X = 0.885    Z = 260.485 
X = 0.805    Z = 260.475 
X = 0.725    Z = 260.51  
X = 0.645    Z = 260.51  
X = 0.57     Z = 260.485 
X = 0.49     Z = 260.485 
X = 0.41     Z = 260.485 
X = 0.33     Z = 260.415 
X = 0.255    Z = 260.405 
X = 0.175    Z = 260.425 
X = 0.095    Z = 260.37  
X = 0.02     Z = 260.265 
X = -0.06    Z = 260.27  
X = -0.14    Z = 260.35  
X = -0.22    Z = 260.35  
X = -0.295   Z = 260.33  
X = -0.375   Z = 260.315 
X = -0.455   Z = 260.26  
X = -0.535   Z = 260.22  
X = -0.615   Z = 260.215 
X = -0.695   Z = 260.18  
X = -0.77    Z = 260.155 
X = -0.85    Z = 260.185 
X = -0.93    Z = 260.155 
X = -1.01    Z = 260.075 
X = -1.09    Z = 260.05  
X = -1.17    Z = 260.105 
X = -1.25    Z = 260.12  
X = -1.325   Z = 260.075 
X = -1.405   Z = 260.02  
X = -1.485   Z = 260.005 
X = -1.565   Z = 260.03  
X = -1.645   Z = 260.03  
X = -1.725   Z = 259.955 
X = -1.805   Z = 259.9   
X = -1.88    Z = 259.9   
X = -1.96    Z = 259.92  
